practice_id,role_id,r_a,
"""BAI03.06""",33,,"""""BAI03.06"""""
"""BAI03.07""",1,,"""""BAI03.07"""""
"""BAI03.07""",2,,"""""BAI03.07"""""
"""BAI03.07""",3,,"""""BAI03.07"""""
"""BAI03.07""",4,,"""""BAI03.07"""""
"""BAI03.07""",5,,"""""BAI03.07"""""
"""BAI03.07""",6,,"""""BAI03.07"""""
"""BAI03.07""",7,R,"""""BAI03.07"""""
"""BAI03.07""",8,,"""""BAI03.07"""""
"""BAI03.07""",9,,"""""BAI03.07"""""
"""BAI03.07""",10,,"""""BAI03.07"""""
"""BAI03.07""",11,,"""""BAI03.07"""""
"""BAI03.07""",12,,"""""BAI03.07"""""
"""BAI03.07""",13,,"""""BAI03.07"""""
"""BAI03.07""",14,R,"""""BAI03.07"""""
"""BAI03.07""",15,A,"""""BAI03.07"""""
"""BAI03.07""",16,,"""""BAI03.07"""""
"""BAI03.07""",17,,"""""BAI03.07"""""
"""BAI03.07""",18,,"""""BAI03.07"""""
"""BAI03.07""",19,,"""""BAI03.07"""""
"""BAI03.07""",20,,"""""BAI03.07"""""
"""BAI03.07""",21,,"""""BAI03.07"""""
"""BAI03.07""",22,,"""""BAI03.07"""""
"""BAI03.07""",23,R,"""""BAI03.07"""""
"""BAI03.07""",24,R,"""""BAI03.07"""""
"""BAI03.07""",25,,"""""BAI03.07"""""
"""BAI03.07""",26,,"""""BAI03.07"""""
"""BAI03.07""",27,,"""""BAI03.07"""""
"""BAI03.07""",28,,"""""BAI03.07"""""
"""BAI03.07""",29,,"""""BAI03.07"""""
"""BAI03.07""",30,,"""""BAI03.07"""""
"""BAI03.07""",31,,"""""BAI03.07"""""
"""BAI03.07""",32,,"""""BAI03.07"""""
"""BAI03.07""",33,,"""""BAI03.07"""""
"""BAI03.08""",1,,"""""BAI03.08"""""
"""BAI03.08""",2,,"""""BAI03.08"""""
"""BAI03.08""",3,,"""""BAI03.08"""""
"""BAI03.08""",4,,"""""BAI03.08"""""
"""BAI03.08""",5,,"""""BAI03.08"""""
"""BAI03.08""",6,,"""""BAI03.08"""""
"""BAI03.08""",7,R,"""""BAI03.08"""""
"""BAI03.08""",8,,"""""BAI03.08"""""
"""BAI03.08""",9,,"""""BAI03.08"""""
"""BAI03.08""",10,,"""""BAI03.08"""""
"""BAI03.08""",11,,"""""BAI03.08"""""
"""BAI03.08""",12,,"""""BAI03.08"""""
"""BAI03.08""",13,,"""""BAI03.08"""""
"""BAI03.08""",14,R,"""""BAI03.08"""""
"""BAI03.08""",15,A,"""""BAI03.08"""""
"""BAI03.08""",16,,"""""BAI03.08"""""
"""BAI03.08""",17,,"""""BAI03.08"""""
"""BAI03.08""",18,,"""""BAI03.08"""""
"""BAI03.08""",19,,"""""BAI03.08"""""
"""BAI03.08""",20,,"""""BAI03.08"""""
"""BAI03.08""",21,,"""""BAI03.08"""""
"""BAI03.08""",22,,"""""BAI03.08"""""
"""BAI03.08""",23,R,"""""BAI03.08"""""
"""BAI03.08""",24,R,"""""BAI03.08"""""
"""BAI03.08""",25,,"""""BAI03.08"""""
"""BAI03.08""",26,,"""""BAI03.08"""""
"""BAI03.08""",27,,"""""BAI03.08"""""
"""BAI03.08""",28,,"""""BAI03.08"""""
"""BAI03.08""",29,,"""""BAI03.08"""""
"""BAI03.08""",30,,"""""BAI03.08"""""
"""BAI03.08""",31,,"""""BAI03.08"""""
"""BAI03.08""",32,,"""""BAI03.08"""""
"""BAI03.08""",33,,"""""BAI03.08"""""
"""BAI03.09""",1,,"""""BAI03.09"""""
"""BAI03.09""",2,,"""""BAI03.09"""""
"""BAI03.09""",3,,"""""BAI03.09"""""
"""BAI03.09""",4,,"""""BAI03.09"""""
"""BAI03.09""",5,,"""""BAI03.09"""""
"""BAI03.09""",6,,"""""BAI03.09"""""
"""BAI03.09""",7,R,"""""BAI03.09"""""
"""BAI03.09""",8,,"""""BAI03.09"""""
"""BAI03.09""",9,,"""""BAI03.09"""""
"""BAI03.09""",10,,"""""BAI03.09"""""
"""BAI03.09""",11,,"""""BAI03.09"""""
"""BAI03.09""",12,,"""""BAI03.09"""""
"""BAI03.09""",13,,"""""BAI03.09"""""
"""BAI03.09""",14,R,"""""BAI03.09"""""
"""BAI03.09""",15,A,"""""BAI03.09"""""
"""BAI03.09""",16,R,"""""BAI03.09"""""
"""BAI03.09""",17,R,"""""BAI03.09"""""
"""BAI03.09""",18,R,"""""BAI03.09"""""
"""BAI03.09""",19,,"""""BAI03.09"""""
"""BAI03.09""",20,,"""""BAI03.09"""""
"""BAI03.09""",21,,"""""BAI03.09"""""
"""BAI03.09""",22,R,"""""BAI03.09"""""
"""BAI03.09""",23,R,"""""BAI03.09"""""
"""BAI03.09""",24,,"""""BAI03.09"""""
"""BAI03.09""",25,,"""""BAI03.09"""""
"""BAI03.09""",26,,"""""BAI03.09"""""
"""BAI03.09""",27,,"""""BAI03.09"""""
"""BAI03.09""",28,,"""""BAI03.09"""""
"""BAI03.09""",29,,"""""BAI03.09"""""
"""BAI03.09""",30,,"""""BAI03.09"""""
"""BAI03.09""",31,,"""""BAI03.09"""""
"""BAI03.09""",32,,"""""BAI03.09"""""
"""BAI03.09""",33,,"""""BAI03.09"""""
"""BAI03.10""",1,,"""""BAI03.10"""""
"""BAI03.10""",2,,"""""BAI03.10"""""
"""BAI03.10""",3,,"""""BAI03.10"""""
"""BAI03.10""",4,,"""""BAI03.10"""""
"""BAI03.10""",5,,"""""BAI03.10"""""
"""BAI03.10""",6,A,"""""BAI03.10"""""
"""BAI03.10""",7,R,"""""BAI03.10"""""
"""BAI03.10""",8,,"""""BAI03.10"""""
"""BAI03.10""",9,,"""""BAI03.10"""""
"""BAI03.10""",10,,"""""BAI03.10"""""
"""BAI03.10""",11,,"""""BAI03.10"""""
"""BAI03.10""",12,,"""""BAI03.10"""""
"""BAI03.10""",13,,"""""BAI03.10"""""
"""BAI03.10""",14,R,"""""BAI03.10"""""
"""BAI03.10""",15,,"""""BAI03.10"""""
"""BAI03.10""",16,R,"""""BAI03.10"""""
"""BAI03.10""",17,R,"""""BAI03.10"""""
"""BAI03.10""",18,R,"""""BAI03.10"""""
"""BAI03.10""",19,,"""""BAI03.10"""""
"""BAI03.10""",20,,"""""BAI03.10"""""
"""BAI03.10""",21,,"""""BAI03.10"""""
"""BAI03.10""",22,,"""""BAI03.10"""""
